time,P_g_z,P_e_z,P_f_z,P_g_x,P_e_x,P_f_x,P_g_y,P_e_y,P_f_y
16,0.14385,0.42795,0.4282,0.2,0.7938,0.0062,0.15305,0.40785,0.4391
36,0.14815,0.4359,0.41595,0.20205,0.7917,0.00625,0.16205,0.3968,0.44115
56,0.15995,0.42605,0.414,0.2117,0.7808,0.0075,0.1687,0.3986,0.4327
76,0.1692,0.4276,0.4032,0.22025,0.77245,0.0073,0.17905,0.39725,0.4237
96,0.1731,0.43065,0.39625,0.2311,0.7609,0.008,0.1879,0.38285,0.42925
116,0.1835,0.43935,0.37715,0.23915,0.75225,0.0086,0.1913,0.38595,0.42275
136,0.20075,0.43155,0.3677,0.2466,0.7432,0.0102,0.2033,0.37875,0.41795
156,0.20295,0.43375,0.3633,0.253,0.7363,0.0107,0.21245,0.3775,0.41005
176,0.21625,0.4334,0.35035,0.2636,0.7254,0.011,0.22475,0.3669,0.40835
196,0.21595,0.43605,0.348,0.2697,0.7196,0.0107,0.22765,0.36495,0.4074
216,0.2274,0.43115,0.34145,0.2778,0.70965,0.01255,0.23655,0.35845,0.405
236,0.23445,0.43545,0.3301,0.282,0.7053,0.0127,0.2409,0.35465,0.40445
256,0.2514,0.4254,0.3232,0.29115,0.6968,0.01205,0.2542,0.34995,0.39585
276,0.25835,0.43535,0.3063,0.29725,0.6881,0.01465,0.25735,0.3394,0.40325
296,0.25925,0.4331,0.30765,0.3087,0.67655,0.01475,0.2686,0.33925,0.39215
316,0.2729,0.43485,0.29225,0.31845,0.6649,0.01665,0.28545,0.32415,0.3904
336,0.2869,0.42565,0.28745,0.3227,0.66095,0.01635,0.2857,0.33515,0.37915
356,0.2866,0.4332,0.2802,0.3356,0.6473,0.0171,0.29735,0.31705,0.3856
376,0.299,0.42645,0.27455,0.3349,0.6464,0.0187,0.3002,0.32155,0.37825
396,0.307,0.4247,0.2683,0.34775,0.63155,0.0207,0.3075,0.3167,0.3758
416,0.3144,0.42815,0.25745,0.3532,0.62595,0.02085,0.31885,0.3121,0.36905
436,0.3175,0.4261,0.2564,0.36505,0.61275,0.0222,0.33115,0.2996,0.36925
456,0.32635,0.4229,0.25075,0.3666,0.6122,0.0212,0.3348,0.2983,0.3669
476,0.34205,0.41945,0.2385,0.3742,0.6047,0.0211,0.35015,0.29495,0.3549
496,0.3502,0.42105,0.22875,0.38345,0.59315,0.0234,0.3531,0.29515,0.35175
516,0.35175,0.42535,0.2229,0.39595,0.57815,0.0259,0.35675,0.2919,0.35135
536,0.36605,0.41715,0.2168,0.40235,0.5733,0.02435,0.36595,0.2889,0.34515
556,0.37345,0.41845,0.2081,0.4059,0.56605,0.02805,0.3743,0.2805,0.3452
576,0.38075,0.41495,0.2043,0.41345,0.5556,0.03095,0.3871,0.27225,0.34065
596,0.3883,0.41605,0.19565,0.42655,0.54505,0.0284,0.3902,0.2711,0.3387
616,0.39885,0.4061,0.19505,0.4254,0.5414,0.0332,0.3933,0.2724,0.3343
636,0.40185,0.4081,0.19005,0.43325,0.5324,0.03435,0.4058,0.2607,0.3335
656,0.41305,0.40595,0.181,0.44525,0.5204,0.03435,0.4132,0.2601,0.3267
676,0.4194,0.40375,0.17685,0.4546,0.50975,0.03565,0.4186,0.25925,0.32215
696,0.4219,0.40905,0.16905,0.4596,0.50525,0.03515,0.42975,0.25095,0.3193
716,0.4309,0.40565,0.16345,0.4653,0.49795,0.03675,0.441,0.24545,0.31355
736,0.4473,0.3923,0.1604,0.4765,0.48405,0.03945,0.44485,0.2455,0.30965
756,0.45005,0.39365,0.1563,0.47685,0.48355,0.0396,0.45145,0.23955,0.309
776,0.45335,0.3969,0.14975,0.48435,0.4751,0.04055,0.4616,0.23485,0.30355
796,0.47175,0.3827,0.14555,0.491,0.4652,0.0438,0.46615,0.2373,0.29655
816,0.4728,0.38435,0.14285,0.5017,0.45525,0.04305,0.47425,0.22795,0.2978
836,0.4801,0.38405,0.13585,0.50295,0.45335,0.0437,0.48005,0.22525,0.2947
856,0.49185,0.37735,0.1308,0.5123,0.4398,0.0479,0.48575,0.22145,0.2928
876,0.4995,0.3743,0.1262,0.52465,0.42585,0.0495,0.4952,0.22195,0.28285
896,0.5094,0.36785,0.12275,0.52495,0.42635,0.0487,0.4977,0.2122,0.2901
916,0.5103,0.3722,0.1175,0.53915,0.4102,0.05065,0.50915,0.21075,0.2801
936,0.5177,0.3695,0.1128,0.5465,0.4036,0.0499,0.5217,0.20085,0.27745
956,0.53385,0.3616,0.10455,0.5473,0.3991,0.0536,0.52745,0.20245,0.2701
976,0.5288,0.3669,0.1043,0.5578,0.39055,0.05165,0.5251,0.20105,0.27385
996,0.5363,0.36055,0.10315,0.5566,0.3849,0.0585,0.54115,0.19355,0.2653
1016,0.54185,0.35765,0.1005,0.558,0.3835,0.0585,0.5429,0.19655,0.26055
1036,0.5562,0.34945,0.09435,0.5683,0.37315,0.05855,0.5528,0.18765,0.25955
1056,0.56505,0.3458,0.08915,0.58015,0.3596,0.06025,0.5546,0.19145,0.25395
1076,0.56305,0.34905,0.0879,0.5862,0.35275,0.06105,0.5636,0.1865,0.2499
1096,0.57345,0.343,0.08355,0.58345,0.35355,0.063,0.5741,0.1774,0.2485
1116,0.5775,0.3401,0.0824,0.5974,0.3419,0.0607,0.5769,0.17695,0.24615
1136,0.58485,0.33805,0.0771,0.6005,0.33705,0.06245,0.57915,0.17435,0.2465
1156,0.58715,0.3409,0.07195,0.60385,0.33195,0.0642,0.5849,0.17355,0.24155
1176,0.592,0.33225,0.07575,0.61445,0.32015,0.0654,0.59965,0.166,0.23435
1196,0.6123,0.3206,0.0671,0.61645,0.3161,0.06745,0.5992,0.16665,0.23415
1216,0.61415,0.32065,0.0652,0.62255,0.31055,0.0669,0.612,0.15745,0.23055
1236,0.6153,0.31985,0.06485,0.6276,0.3052,0.0672,0.60905,0.1623,0.22865
1256,0.6253,0.3154,0.0593,0.6301,0.30105,0.06885,0.628,0.1519,0.2201
1276,0.63225,0.31085,0.0569,0.64015,0.2877,0.07215,0.62795,0.1516,0.22045
1296,0.6337,0.3117,0.0546,0.64165,0.28535,0.073,0.63155,0.15215,0.2163
1316,0.6476,0.3037,0.0487,0.65635,0.26985,0.0738,0.63165,0.1506,0.21775
1336,0.6452,0.30875,0.04605,0.6532,0.27145,0.07535,0.64625,0.14005,0.2137
1356,0.65875,0.29535,0.0459,0.6631,0.2622,0.0747,0.649,0.14565,0.20535
