time,P_g_z,P_e_z,P_f_z,P_g_x,P_e_x,P_f_x,P_g_y,P_e_y,P_f_y
16,0.14,0.42195,0.43805,0.15935,0.4063,0.43435,0.1941,0.7974,0.0085
36,0.1458,0.4244,0.4298,0.164,0.40745,0.42855,0.20575,0.7857,0.00855
56,0.15475,0.41505,0.4302,0.1702,0.40855,0.42125,0.20885,0.78245,0.0087
76,0.1619,0.40495,0.43315,0.18095,0.3977,0.42135,0.2144,0.77685,0.00875
96,0.1651,0.39145,0.44345,0.1862,0.40225,0.41155,0.2201,0.77055,0.00935
116,0.17955,0.38475,0.4357,0.19565,0.39435,0.41,0.22565,0.76265,0.0117
136,0.18165,0.38715,0.4312,0.20715,0.39705,0.3958,0.23565,0.75245,0.0119
156,0.1878,0.38205,0.43015,0.2106,0.3948,0.3946,0.2401,0.74785,0.01205
176,0.1964,0.3728,0.4308,0.2115,0.3913,0.3972,0.2501,0.7379,0.012
196,0.20265,0.36735,0.43,0.2233,0.38445,0.39225,0.2519,0.7362,0.0119
216,0.2121,0.35905,0.42885,0.22735,0.38275,0.3899,0.26245,0.7245,0.01305
236,0.2154,0.3518,0.4328,0.23705,0.37845,0.3845,0.26525,0.71995,0.0148
256,0.22165,0.3522,0.42615,0.2387,0.37805,0.38325,0.2782,0.7065,0.0153
276,0.2313,0.34445,0.42425,0.2461,0.3769,0.377,0.27975,0.7051,0.01515
296,0.2353,0.3367,0.428,0.2544,0.38095,0.36465,0.28435,0.69855,0.0171
316,0.2398,0.33095,0.42925,0.25875,0.3733,0.36795,0.28605,0.69715,0.0168
336,0.2498,0.33145,0.41875,0.26435,0.3759,0.35975,0.2942,0.6893,0.0165
356,0.252,0.32735,0.42065,0.2695,0.37055,0.35995,0.2996,0.68365,0.01675
376,0.25615,0.3199,0.42395,0.27775,0.36715,0.3551,0.31055,0.67165,0.0178
396,0.2616,0.31855,0.41985,0.2822,0.3697,0.3481,0.31085,0.67105,0.0181
416,0.27585,0.30575,0.4184,0.29205,0.3679,0.34005,0.31755,0.6613,0.02115
436,0.2742,0.31135,0.41445,0.29855,0.3659,0.33555,0.32465,0.65415,0.0212
456,0.2763,0.30855,0.41515,0.3004,0.3625,0.3371,0.3259,0.6517,0.0224
476,0.28845,0.2966,0.41495,0.30815,0.36015,0.3317,0.33075,0.6475,0.02175
496,0.2898,0.29805,0.41215,0.30845,0.36715,0.3244,0.34225,0.63355,0.0242
516,0.297,0.28555,0.41745,0.3164,0.36405,0.31955,0.3391,0.63755,0.02335
536,0.3012,0.2861,0.4127,0.31825,0.3631,0.31865,0.34735,0.6286,0.02405
556,0.31005,0.2802,0.40975,0.32525,0.35905,0.3157,0.3486,0.6237,0.0277
576,0.3112,0.27855,0.41025,0.33135,0.3548,0.31385,0.3617,0.61255,0.02575
596,0.3144,0.2782,0.4074,0.33915,0.35555,0.3053,0.361,0.6123,0.0267
616,0.3183,0.27165,0.41005,0.339,0.3567,0.3043,0.36345,0.6104,0.02615
636,0.3285,0.27405,0.39745,0.3543,0.34905,0.29665,0.37515,0.5996,0.02525
656,0.3346,0.26685,0.39855,0.35135,0.3515,0.29715,0.3778,0.59065,0.03155
676,0.3346,0.26115,0.40425,0.3617,0.3499,0.2884,0.3799,0.5907,0.0294
696,0.3413,0.26225,0.39645,0.3608,0.3505,0.2887,0.3833,0.5869,0.0298
716,0.34325,0.2571,0.39965,0.36415,0.3475,0.28835,0.38795,0.58095,0.0311
736,0.34895,0.2546,0.39645,0.3778,0.34095,0.28125,0.3953,0.5718,0.0329
756,0.3524,0.2468,0.4008,0.3797,0.3477,0.2726,0.3971,0.5704,0.0325
776,0.35365,0.24945,0.3969,0.3805,0.3462,0.2733,0.40345,0.56495,0.0316
796,0.36525,0.2397,0.39505,0.3839,0.34495,0.27115,0.4028,0.56005,0.03715
816,0.36355,0.2448,0.39165,0.39475,0.341,0.26425,0.4115,0.5531,0.0354
836,0.3699,0.2415,0.3886,0.398,0.3396,0.2624,0.4124,0.55095,0.03665
856,0.37185,0.2405,0.38765,0.4009,0.33745,0.26165,0.4153,0.5476,0.0371
876,0.3747,0.23145,0.39385,0.39795,0.3409,0.26115,0.4177,0.54405,0.03825
896,0.39355,0.2308,0.37565,0.40385,0.3444,0.25175,0.4242,0.53825,0.03755
916,0.38795,0.22905,0.383,0.412,0.34355,0.24445,0.4294,0.53055,0.04005
936,0.4,0.22645,0.37355,0.4171,0.34085,0.24205,0.4363,0.52675,0.03695
956,0.39395,0.2325,0.37355,0.41935,0.3408,0.23985,0.43285,0.52785,0.0393
976,0.39925,0.223,0.37775,0.4259,0.3383,0.2358,0.43045,0.52625,0.0433
996,0.39775,0.2221,0.38015,0.4304,0.3307,0.2389,0.43955,0.51705,0.0434
1016,0.40985,0.21845,0.3717,0.4305,0.3344,0.2351,0.4419,0.5175,0.0406
1036,0.41085,0.21725,0.3719,0.43135,0.33345,0.2352,0.4537,0.5015,0.0448
1056,0.41295,0.21985,0.3672,0.4444,0.3352,0.2204,0.46415,0.49085,0.045
1076,0.42025,0.2134,0.36635,0.4429,0.3334,0.2237,0.46125,0.4945,0.04425
1096,0.4283,0.20815,0.36355,0.44655,0.33665,0.2168,0.4609,0.4933,0.0458
1116,0.4303,0.2072,0.3625,0.4464,0.33725,0.21635,0.46455,0.48795,0.0475
1136,0.4276,0.20885,0.36355,0.45875,0.3304,0.21085,0.4728,0.47945,0.04775
1156,0.4374,0.20355,0.35905,0.4627,0.3304,0.2069,0.47205,0.4791,0.04885
1176,0.4359,0.2077,0.3564,0.4601,0.3359,0.204,0.48175,0.4702,0.04805
1196,0.4393,0.2052,0.3555,0.47145,0.3233,0.20525,0.4798,0.4742,0.046
1216,0.4442,0.2085,0.3473,0.4604,0.3332,0.2064,0.4819,0.4695,0.0486
1236,0.45685,0.19965,0.3435,0.476,0.32785,0.19615,0.48405,0.4683,0.04765
1256,0.4562,0.1957,0.3481,0.4732,0.3321,0.1947,0.4873,0.46195,0.05075
1276,0.459,0.197,0.344,0.4827,0.3255,0.1918,0.4938,0.45475,0.05145
1296,0.45975,0.1919,0.34835,0.48405,0.32505,0.1909,0.494,0.45275,0.05325
1316,0.46685,0.19415,0.339,0.48205,0.32635,0.1916,0.50085,0.4472,0.05195
1336,0.46805,0.19195,0.34,0.48695,0.32455,0.1885,0.5021,0.44595,0.05195
1356,0.47095,0.1925,0.33655,0.49595,0.3219,0.18215,0.5133,0.43265,0.05405
1376,0.471,0.1894,0.3396,0.49705,0.32335,0.1796,0.5133,0.4333,0.0534
1396,0.47625,0.1947,0.32905,0.5127,0.3151,0.1722,0.51955,0.42425,0.0562
1416,0.49155,0.18585,0.3226,0.5116,0.3133,0.1751,0.5218,0.42435,0.05385
1436,0.48785,0.18265,0.3295,0.50115,0.32745,0.1714,0.5228,0.42455,0.05265
1456,0.49155,0.1843,0.32415,0.5121,0.322,0.1659,0.5185,0.4244,0.0571
1476,0.48965,0.1862,0.32415,0.51355,0.31615,0.1703,0.52175,0.4197,0.05855
1496,0.4979,0.1833,0.3188,0.524,0.31575,0.16025,0.53485,0.4096,0.05555
1516,0.4959,0.182,0.3221,0.5272,0.31665,0.15615,0.537,0.40775,0.05525
1536,0.5045,0.18005,0.31545,0.52755,0.3171,0.15535,0.5328,0.41125,0.05595
1556,0.50405,0.1821,0.31385,0.52745,0.3199,0.15265,0.54065,0.401,0.05835
1576,0.51435,0.17845,0.3072,0.5371,0.3111,0.1518,0.54295,0.3975,0.05955
1596,0.51685,0.1788,0.30435,0.5406,0.3124,0.147,0.54095,0.3989,0.06015
1616,0.5223,0.177,0.3007,0.54325,0.3084,0.14835,0.54895,0.3923,0.05875
1636,0.51925,0.17795,0.3028,0.54525,0.31175,0.143,0.55105,0.3909,0.05805
1656,0.5284,0.1756,0.296,0.54655,0.31065,0.1428,0.5597,0.3795,0.0608
1676,0.52505,0.1754,0.29955,0.54645,0.30565,0.1479,0.5583,0.38215,0.05955
1696,0.52355,0.1746,0.30185,0.55625,0.30295,0.1408,0.55645,0.3829,0.06065
1716,0.5272,0.1775,0.2953,0.5579,0.30485,0.13725,0.5597,0.37945,0.06085
