time,P_g_z,P_e_z,P_f_z,P_g_x,P_e_x,P_f_x,P_g_y,P_e_y,P_f_y
16,0.1813,0.8085,0.0102,0.1644,0.3358,0.4998,0.16835,0.4018,0.42985
36,0.19185,0.78205,0.0261,0.1693,0.2821,0.5486,0.1851,0.38975,0.42515
56,0.20665,0.74545,0.0479,0.17785,0.2283,0.59385,0.2033,0.38115,0.41555
76,0.21795,0.7072,0.07485,0.18145,0.18285,0.6357,0.20895,0.3852,0.40585
96,0.21845,0.67455,0.107,0.1886,0.1423,0.6691,0.21765,0.38195,0.4004
116,0.2311,0.62245,0.14645,0.19845,0.10005,0.7015,0.23075,0.3736,0.39565
136,0.2316,0.57455,0.19385,0.2048,0.07045,0.72475,0.23975,0.36875,0.3915
156,0.2335,0.5238,0.2427,0.20695,0.04585,0.7472,0.25125,0.3653,0.38345
176,0.2392,0.46515,0.29565,0.21655,0.0279,0.75555,0.2535,0.3643,0.3822
196,0.2435,0.4118,0.3447,0.21455,0.01765,0.7678,0.2565,0.3618,0.3817
216,0.2364,0.3642,0.3994,0.22215,0.01285,0.765,0.26005,0.36265,0.3773
236,0.23975,0.30805,0.4522,0.22315,0.01925,0.7576,0.26075,0.36,0.37925
256,0.24345,0.25975,0.4968,0.2236,0.0302,0.7462,0.2633,0.36175,0.37495
276,0.24525,0.2144,0.54035,0.2295,0.0474,0.7231,0.26245,0.36355,0.374
296,0.23555,0.16935,0.5951,0.2323,0.06795,0.69975,0.26755,0.3509,0.38155
316,0.23815,0.13035,0.6315,0.23645,0.0952,0.66835,0.26875,0.35785,0.3734
336,0.23275,0.0998,0.66745,0.24075,0.1297,0.62955,0.26385,0.35755,0.3786
356,0.23265,0.06995,0.6974,0.24415,0.1632,0.59265,0.26485,0.35795,0.3772
376,0.23225,0.04935,0.7184,0.2444,0.2047,0.5509,0.26865,0.35325,0.3781
396,0.22385,0.03275,0.7434,0.2503,0.24665,0.50305,0.2596,0.35645,0.38395
416,0.22035,0.0252,0.75445,0.2567,0.29235,0.45095,0.2567,0.3613,0.382
436,0.22515,0.0213,0.75355,0.2605,0.3305,0.409,0.26235,0.35945,0.3782
456,0.22695,0.02165,0.7514,0.2623,0.37395,0.36375,0.26175,0.357,0.38125
476,0.2309,0.02955,0.73955,0.2726,0.4122,0.3152,0.26525,0.35965,0.3751
496,0.2272,0.04335,0.72945,0.27925,0.45625,0.2645,0.2679,0.35635,0.37575
516,0.23465,0.0624,0.70295,0.2859,0.49635,0.21775,0.2669,0.35795,0.37515
536,0.2342,0.08645,0.67935,0.29735,0.52075,0.1819,0.27115,0.35205,0.3768
556,0.24635,0.1071,0.64655,0.298,0.5591,0.1429,0.2779,0.3528,0.3693
576,0.24745,0.1448,0.60775,0.30845,0.58215,0.1094,0.2737,0.35415,0.37215
596,0.26385,0.17005,0.5661,0.30975,0.60775,0.0825,0.279,0.351,0.37
616,0.2621,0.2105,0.5274,0.3218,0.6207,0.0575,0.2853,0.34565,0.36905
636,0.2773,0.24025,0.48245,0.32635,0.6364,0.03725,0.29605,0.3422,0.36175
656,0.28215,0.2762,0.44165,0.3382,0.6354,0.0264,0.3004,0.3388,0.3608
676,0.29125,0.3166,0.39215,0.34625,0.63595,0.0178,0.31345,0.33145,0.3551
696,0.3103,0.3544,0.3353,0.35205,0.6325,0.01545,0.31255,0.33225,0.3552
716,0.32515,0.38185,0.293,0.3581,0.62055,0.02135,0.3296,0.3256,0.3448
736,0.34245,0.4155,0.24205,0.3708,0.59895,0.03025,0.3366,0.32835,0.33505
