time,P_g_z,P_e_z,P_f_z,P_g_x,P_e_x,P_f_x,P_g_y,P_e_y,P_f_y
16,0.06245,0.0202,0.91735,0.1022,0.4119,0.4859,0.10505,0.42575,0.4692
36,0.0604,0.02055,0.91905,0.10255,0.41385,0.4836,0.1073,0.42795,0.46475
56,0.0591,0.0214,0.9195,0.0989,0.41595,0.48515,0.10175,0.42575,0.4725
76,0.0589,0.02205,0.91905,0.09825,0.416,0.48575,0.1027,0.4256,0.4717
96,0.06095,0.021,0.91805,0.10265,0.4112,0.48615,0.0998,0.42445,0.47575
116,0.0624,0.0254,0.9122,0.10185,0.4086,0.48955,0.0983,0.42515,0.47655
136,0.0613,0.02485,0.91385,0.0998,0.42405,0.47615,0.1043,0.41835,0.47735
156,0.06245,0.02615,0.9114,0.10265,0.41725,0.4801,0.104,0.419,0.477
176,0.06155,0.0262,0.91225,0.10215,0.41715,0.4807,0.10535,0.42235,0.4723
196,0.05935,0.0276,0.91305,0.10265,0.41645,0.4809,0.1041,0.42195,0.47395
216,0.0615,0.0273,0.9112,0.10505,0.42185,0.4731,0.1017,0.4222,0.4761
236,0.06065,0.02995,0.9094,0.1007,0.4227,0.4766,0.10705,0.41145,0.4815
256,0.0613,0.02965,0.90905,0.1088,0.42295,0.46825,0.10405,0.4208,0.47515
276,0.0615,0.02995,0.90855,0.10665,0.42565,0.4677,0.1029,0.42245,0.47465
296,0.06125,0.03005,0.9087,0.104,0.42775,0.46825,0.10135,0.4163,0.48235
316,0.05985,0.0311,0.90905,0.1069,0.42125,0.47185,0.10795,0.4159,0.47615
336,0.0633,0.0323,0.9044,0.10865,0.41995,0.4714,0.10325,0.4199,0.47685
356,0.0637,0.03265,0.90365,0.1067,0.43365,0.45965,0.1045,0.41535,0.48015
376,0.06315,0.03385,0.903,0.1104,0.4293,0.4603,0.10135,0.4149,0.48375
396,0.0641,0.0326,0.9033,0.1076,0.4294,0.463,0.1034,0.41825,0.47835
416,0.06325,0.03305,0.9037,0.10865,0.4323,0.45905,0.105,0.41995,0.47505
436,0.06845,0.0361,0.89545,0.10975,0.4312,0.45905,0.10665,0.4185,0.47485
456,0.0667,0.0359,0.8974,0.1124,0.4344,0.4532,0.11095,0.41215,0.4769
476,0.06585,0.03795,0.8962,0.1126,0.43065,0.45675,0.11075,0.4133,0.47595
496,0.06645,0.0358,0.89775,0.11515,0.42965,0.4552,0.10815,0.4114,0.48045
516,0.0692,0.0385,0.8923,0.1128,0.4384,0.4488,0.10915,0.411,0.47985
536,0.06745,0.03795,0.8946,0.10975,0.4314,0.45885,0.10685,0.4141,0.47905
