time,P_g_z,P_e_z,P_f_z,P_g_x,P_e_x,P_f_x,P_g_y,P_e_y,P_f_y
16,0.14465,0.40785,0.4475,0.1082,0.0173,0.8745,0.1577,0.40525,0.43705
36,0.1478,0.40755,0.44465,0.12035,0.01785,0.8618,0.1629,0.40895,0.42815
56,0.1475,0.40125,0.45125,0.1271,0.01905,0.85385,0.17195,0.3994,0.42865
76,0.1628,0.3901,0.4471,0.13455,0.0163,0.84915,0.18175,0.3938,0.42445
96,0.16485,0.38625,0.4489,0.14255,0.01765,0.8398,0.18435,0.39815,0.4175
116,0.1737,0.3806,0.4457,0.1449,0.0192,0.8359,0.195,0.394,0.411
136,0.17675,0.36935,0.4539,0.15215,0.01915,0.8287,0.2016,0.38735,0.41105
156,0.1811,0.36725,0.45165,0.1597,0.0195,0.8208,0.2052,0.3902,0.4046
176,0.19085,0.35515,0.454,0.16375,0.0191,0.81715,0.21965,0.383,0.39735
196,0.19705,0.35145,0.4515,0.17455,0.02075,0.8047,0.2161,0.3878,0.3961
216,0.2053,0.34375,0.45095,0.18015,0.0221,0.79775,0.2289,0.3804,0.3907
236,0.213,0.3347,0.4523,0.18905,0.02065,0.7903,0.23055,0.38065,0.3888
256,0.21565,0.33045,0.4539,0.1945,0.02105,0.78445,0.23185,0.3791,0.38905
276,0.22855,0.317,0.45445,0.1963,0.0209,0.7828,0.2429,0.37125,0.38585
296,0.2227,0.3222,0.4551,0.20565,0.02445,0.7699,0.2459,0.37415,0.37995
316,0.23235,0.3143,0.45335,0.21915,0.0248,0.75605,0.24965,0.3665,0.38385
336,0.24285,0.29965,0.4575,0.2087,0.0245,0.7668,0.2621,0.36505,0.37285
356,0.24025,0.29955,0.4602,0.2235,0.0256,0.7509,0.2577,0.37215,0.37015
376,0.24815,0.2912,0.46065,0.2256,0.028,0.7464,0.2756,0.3593,0.3651
396,0.2534,0.2859,0.4607,0.23345,0.02785,0.7387,0.2715,0.3666,0.3619
416,0.2539,0.28495,0.46115,0.23855,0.0273,0.73415,0.2793,0.3627,0.358
436,0.26475,0.2743,0.46095,0.2473,0.02785,0.72485,0.2866,0.3627,0.3507
456,0.2631,0.27205,0.46485,0.24755,0.03125,0.7212,0.2857,0.3613,0.353
476,0.27265,0.2621,0.46525,0.25955,0.03035,0.7101,0.3016,0.3432,0.3552
496,0.2746,0.25855,0.46685,0.2608,0.03265,0.70655,0.3001,0.3539,0.346
516,0.27925,0.2528,0.46795,0.2663,0.03305,0.70065,0.3085,0.35315,0.33835
536,0.2873,0.2484,0.4643,0.269,0.03405,0.69695,0.3159,0.3464,0.3377
556,0.2895,0.244,0.4665,0.2755,0.0349,0.6896,0.3086,0.34995,0.34145
576,0.2902,0.23515,0.47465,0.27915,0.0358,0.68505,0.3155,0.3464,0.3381
596,0.29545,0.23185,0.4727,0.28025,0.03565,0.6841,0.3174,0.3453,0.3373
616,0.29915,0.23055,0.4703,0.2887,0.03895,0.67235,0.3201,0.3498,0.3301
636,0.2961,0.2263,0.4776,0.29335,0.0399,0.66675,0.3276,0.34445,0.32795
656,0.3095,0.2211,0.4694,0.2973,0.0434,0.6593,0.32685,0.3437,0.32945
676,0.3138,0.2167,0.4695,0.3006,0.044,0.6554,0.33525,0.3411,0.32365
696,0.31235,0.2131,0.47455,0.30615,0.0436,0.65025,0.33965,0.3414,0.31895
716,0.3148,0.2146,0.4706,0.30475,0.0462,0.64905,0.3436,0.33885,0.31755
736,0.32325,0.20945,0.4673,0.31195,0.0468,0.64125,0.3453,0.3325,0.3222
756,0.3286,0.2007,0.4707,0.3139,0.04795,0.63815,0.3462,0.3359,0.3179
776,0.3342,0.1943,0.4715,0.3205,0.0502,0.6293,0.3603,0.32685,0.31285
796,0.32335,0.19355,0.4831,0.32705,0.0503,0.62265,0.3528,0.33505,0.31215
816,0.3369,0.18975,0.47335,0.32885,0.05375,0.6174,0.35905,0.3242,0.31675
836,0.33775,0.18425,0.478,0.32725,0.0531,0.61965,0.366,0.3266,0.3074
856,0.3417,0.179,0.4793,0.3319,0.0575,0.6106,0.37085,0.32885,0.3003
876,0.3474,0.17825,0.47435,0.33285,0.0599,0.60725,0.37485,0.32495,0.3002
896,0.34655,0.17465,0.4788,0.33745,0.05825,0.6043,0.37685,0.3201,0.30305
916,0.353,0.16775,0.47925,0.34975,0.06245,0.5878,0.37385,0.325,0.30115
936,0.35215,0.16635,0.4815,0.3542,0.0585,0.5873,0.3831,0.3208,0.2961
956,0.35315,0.167,0.47985,0.3493,0.06295,0.58775,0.3783,0.33025,0.29145
976,0.3578,0.16245,0.47975,0.35445,0.0655,0.58005,0.3873,0.32045,0.29225
996,0.36885,0.1522,0.47895,0.35305,0.0663,0.58065,0.39315,0.3158,0.29105
1016,0.35225,0.15945,0.4883,0.3609,0.0677,0.5714,0.38885,0.31965,0.2915
1036,0.35995,0.14535,0.4947,0.3608,0.06985,0.56935,0.3917,0.3144,0.2939
1056,0.37105,0.1479,0.48105,0.36725,0.07305,0.5597,0.3926,0.31295,0.29445
1076,0.3716,0.1439,0.4845,0.36385,0.0726,0.56355,0.39745,0.31835,0.2842
1096,0.37045,0.1482,0.48135,0.3704,0.07635,0.55325,0.39435,0.3147,0.29095
1116,0.38475,0.1357,0.47955,0.37015,0.07405,0.5558,0.4062,0.3156,0.2782
1136,0.3768,0.13715,0.48605,0.3753,0.0751,0.5496,0.401,0.31475,0.28425
1156,0.3801,0.1356,0.4843,0.37785,0.0773,0.54485,0.4048,0.31375,0.28145
1176,0.38295,0.13095,0.4861,0.37775,0.0815,0.54075,0.4116,0.312,0.2764
1196,0.38495,0.1248,0.49025,0.38175,0.07875,0.5395,0.41135,0.30695,0.2817
1216,0.38965,0.12865,0.4817,0.3869,0.0822,0.5309,0.40935,0.31495,0.2757
1236,0.388,0.1289,0.4831,0.38725,0.0827,0.53005,0.42095,0.30825,0.2708
1256,0.3925,0.1238,0.4837,0.3931,0.08475,0.52215,0.41335,0.30725,0.2794
1276,0.39485,0.12325,0.4819,0.3964,0.0841,0.5195,0.42015,0.3086,0.27125
1296,0.4001,0.11375,0.48615,0.3979,0.08335,0.51875,0.42225,0.301,0.27675
1316,0.39725,0.11265,0.4901,0.40195,0.08635,0.5117,0.42905,0.3064,0.26455
1336,0.39685,0.11395,0.4892,0.4,0.09165,0.50835,0.4226,0.3071,0.2703
1356,0.3962,0.11175,0.49205,0.3963,0.09145,0.51225,0.4257,0.307,0.2673
1376,0.4,0.1065,0.4935,0.40495,0.09655,0.4985,0.4268,0.30745,0.26575
1396,0.4022,0.1091,0.4887,0.40795,0.0973,0.49475,0.43275,0.30415,0.2631
1416,0.40975,0.1082,0.48205,0.4155,0.0995,0.485,0.4299,0.306,0.2641
1436,0.40995,0.1068,0.48325,0.4106,0.1019,0.4875,0.43645,0.2959,0.26765
1456,0.4117,0.10425,0.48405,0.4139,0.0999,0.4862,0.4296,0.3015,0.2689
1476,0.41465,0.09755,0.4878,0.4168,0.09995,0.48325,0.44,0.30085,0.25915
1496,0.41045,0.09905,0.4905,0.41545,0.10315,0.4814,0.4382,0.29685,0.26495
1516,0.4143,0.09655,0.48915,0.414,0.105,0.481,0.43395,0.3007,0.26535
1536,0.4166,0.0942,0.4892,0.4223,0.10395,0.47375,0.4405,0.2988,0.2607
1556,0.4203,0.0954,0.4843,0.422,0.11005,0.46795,0.45345,0.2911,0.25545
1576,0.4139,0.0932,0.4929,0.4305,0.10755,0.46195,0.4471,0.29485,0.25805
1596,0.4209,0.09045,0.48865,0.42,0.1101,0.4699,0.4461,0.29675,0.25715
1616,0.41985,0.08705,0.4931,0.4247,0.1109,0.4644,0.44485,0.29725,0.2579
1636,0.4343,0.08585,0.47985,0.4248,0.1141,0.4611,0.44535,0.2974,0.25725
1656,0.42535,0.086,0.48865,0.4291,0.11635,0.45455,0.45195,0.2925,0.25555
1676,0.4241,0.0866,0.4893,0.43915,0.1165,0.44435,0.45885,0.28905,0.2521
1696,0.4294,0.0833,0.4873,0.4332,0.12015,0.44665,0.4547,0.29335,0.25195
1716,0.4343,0.08505,0.48065,0.4372,0.12055,0.44225,0.4546,0.29415,0.25125
1736,0.43625,0.07895,0.4848,0.4394,0.1207,0.4399,0.4582,0.28615,0.25565
1756,0.4394,0.07635,0.48425,0.44195,0.12355,0.4345,0.46,0.28975,0.25025
1776,0.4289,0.07885,0.49225,0.44205,0.12605,0.4319,0.463,0.28865,0.24835
1796,0.43325,0.07715,0.4896,0.4369,0.12575,0.43735,0.4648,0.29065,0.24455
1816,0.42825,0.0747,0.49705,0.444,0.125,0.431,0.4612,0.28815,0.25065
1836,0.442,0.07625,0.48175,0.4453,0.1264,0.4283,0.47195,0.28335,0.2447
1856,0.44065,0.0739,0.48545,0.4459,0.12895,0.42515,0.4646,0.28505,0.25035
1876,0.43755,0.0719,0.49055,0.44885,0.13165,0.4195,0.47085,0.281,0.24815
1896,0.4431,0.0706,0.4863,0.44665,0.12935,0.424,0.4616,0.2892,0.2492
1916,0.4346,0.06995,0.49545,0.45165,0.13565,0.4127,0.47235,0.2818,0.24585
1936,0.44455,0.0711,0.48435,0.44965,0.13465,0.4157,0.46685,0.27955,0.2536
1956,0.43605,0.0665,0.49745,0.44915,0.13485,0.416,0.4701,0.2845,0.2454
1976,0.44455,0.06855,0.4869,0.46025,0.1375,0.40225,0.47375,0.287,0.23925
1996,0.44545,0.0662,0.48835,0.45755,0.1387,0.40375,0.46995,0.2847,0.24535
2016,0.4452,0.065,0.4898,0.45805,0.1468,0.39515,0.47275,0.27855,0.2487
2036,0.4449,0.06355,0.49155,0.45535,0.1449,0.39975,0.4792,0.27955,0.24125
2056,0.4568,0.06405,0.47915,0.45445,0.1456,0.39995,0.4706,0.2842,0.2452
2076,0.44625,0.06355,0.4902,0.46285,0.1472,0.38995,0.4759,0.27865,0.24545
2096,0.44525,0.06115,0.4936,0.45935,0.14705,0.3936,0.4766,0.2832,0.2402
2116,0.44785,0.06065,0.4915,0.4658,0.14455,0.38965,0.47645,0.2772,0.24635
2136,0.45005,0.0618,0.48815,0.4648,0.14895,0.38625,0.47415,0.2856,0.24025
2156,0.4477,0.0582,0.4941,0.46065,0.15535,0.384,0.48505,0.2772,0.23775
2176,0.45805,0.0582,0.48375,0.4693,0.14855,0.38215,0.47985,0.2772,0.24295
2196,0.45545,0.0583,0.48625,0.4641,0.15575,0.38015,0.4874,0.27295,0.23965
2216,0.4495,0.0544,0.4961,0.4668,0.1512,0.382,0.4814,0.2778,0.2408
2236,0.45565,0.056,0.48835,0.47415,0.15305,0.3728,0.47825,0.2803,0.24145
2256,0.4602,0.05455,0.48525,0.4699,0.15625,0.37385,0.4892,0.27435,0.23645
2276,0.4594,0.057,0.4836,0.4729,0.1578,0.3693,0.48495,0.27375,0.2413
2296,0.4635,0.05465,0.48185,0.46535,0.16275,0.3719,0.4861,0.27785,0.23605
2316,0.4629,0.05255,0.48455,0.4745,0.15615,0.36935,0.484,0.27325,0.24275
2336,0.4653,0.0507,0.484,0.4686,0.1631,0.3683,0.4823,0.27395,0.24375
2356,0.46055,0.0497,0.48975,0.4834,0.1596,0.357,0.4851,0.2718,0.2431
2376,0.4608,0.0515,0.4877,0.47035,0.16505,0.3646,0.4901,0.27195,0.23795
2396,0.4574,0.0526,0.49,0.47395,0.16575,0.3603,0.48215,0.28065,0.2372
2416,0.4635,0.05165,0.48485,0.4779,0.1656,0.3565,0.488,0.27135,0.24065
2436,0.4663,0.0502,0.4835,0.47945,0.1687,0.35185,0.49175,0.26905,0.2392
2456,0.46675,0.052,0.48125,0.4834,0.1655,0.3511,0.49085,0.2669,0.24225
2476,0.46315,0.051,0.48585,0.48635,0.1648,0.34885,0.4924,0.2706,0.237
2496,0.46955,0.04755,0.4829,0.4801,0.1714,0.3485,0.48905,0.2664,0.24455
2516,0.4667,0.0492,0.4841,0.48155,0.176,0.34245,0.49155,0.2712,0.23725
2536,0.4629,0.04725,0.48985,0.48315,0.17115,0.3457,0.49195,0.27225,0.2358
2556,0.4703,0.04625,0.48345,0.4828,0.1744,0.3428,0.5024,0.2662,0.2314
2576,0.47255,0.0449,0.48255,0.48905,0.17755,0.3334,0.49605,0.26755,0.2364
2596,0.47185,0.0463,0.48185,0.48515,0.17735,0.3375,0.4965,0.2673,0.2362
2616,0.4672,0.05015,0.48265,0.48365,0.17845,0.3379,0.5029,0.26445,0.23265
2636,0.47265,0.04565,0.4817,0.48425,0.1801,0.33565,0.49625,0.2676,0.23615
2656,0.47085,0.04665,0.4825,0.4861,0.1818,0.3321,0.4949,0.2673,0.2378
2676,0.4706,0.04825,0.48115,0.49365,0.1783,0.32805,0.5006,0.25945,0.23995
2696,0.47415,0.0444,0.48145,0.49,0.18055,0.32945,0.50135,0.26145,0.2372
2716,0.47555,0.0441,0.48035,0.4892,0.18195,0.32885,0.4967,0.26295,0.24035
2736,0.47725,0.0439,0.47885,0.49325,0.1822,0.32455,0.5034,0.26555,0.23105
2756,0.482,0.04405,0.47395,0.48735,0.1846,0.32805,0.4978,0.26755,0.23465
2776,0.47,0.0444,0.4856,0.49955,0.1811,0.31935,0.50005,0.258,0.24195
2796,0.4821,0.04355,0.47435,0.49715,0.18585,0.317,0.5122,0.2579,0.2299
2816,0.4735,0.0458,0.4807,0.5011,0.18195,0.31695,0.5017,0.26175,0.23655
2836,0.4766,0.0422,0.4812,0.50215,0.1889,0.30895,0.5019,0.25925,0.23885
2856,0.4861,0.0411,0.4728,0.4972,0.1882,0.3146,0.50825,0.2633,0.22845
2876,0.4787,0.0422,0.4791,0.5059,0.1873,0.3068,0.50695,0.25735,0.2357
2896,0.4818,0.04025,0.47795,0.50705,0.18665,0.3063,0.5117,0.2567,0.2316
2916,0.47845,0.0441,0.47745,0.49525,0.19235,0.3124,0.50255,0.2643,0.23315
2936,0.48145,0.04175,0.4768,0.5067,0.1876,0.3057,0.50395,0.2596,0.23645
2956,0.4822,0.0431,0.4747,0.5043,0.19675,0.29895,0.51185,0.2555,0.23265
2976,0.48105,0.03985,0.4791,0.50445,0.19515,0.3004,0.5065,0.25795,0.23555
2996,0.4806,0.04165,0.47775,0.5039,0.19535,0.30075,0.5161,0.2567,0.2272
3016,0.48355,0.0418,0.47465,0.49965,0.197,0.30335,0.5086,0.25865,0.23275
3036,0.48285,0.0399,0.47725,0.499,0.19815,0.30285,0.51115,0.256,0.23285
3056,0.4905,0.0404,0.4691,0.5049,0.198,0.2971,0.51465,0.25365,0.2317
3076,0.48705,0.04105,0.4719,0.50775,0.19955,0.2927,0.51135,0.25065,0.238
3096,0.48535,0.0405,0.47415,0.50425,0.2009,0.29485,0.5119,0.25355,0.23455
3116,0.49105,0.03895,0.47,0.50905,0.20115,0.2898,0.5143,0.2521,0.2336
3136,0.48925,0.04075,0.47,0.50105,0.2068,0.29215,0.50705,0.25455,0.2384
3156,0.4862,0.04065,0.47315,0.50395,0.20445,0.2916,0.5137,0.2494,0.2369
3176,0.4912,0.03605,0.47275,0.514,0.202,0.284,0.51785,0.25245,0.2297
3196,0.49115,0.03865,0.4702,0.50315,0.2052,0.29165,0.5188,0.2494,0.2318
3216,0.49075,0.04045,0.4688,0.51575,0.19945,0.2848,0.5157,0.2523,0.232
3236,0.4859,0.0383,0.4758,0.5113,0.20765,0.28105,0.5186,0.24835,0.23305
3256,0.4967,0.03725,0.46605,0.50855,0.2089,0.28255,0.51565,0.25585,0.2285
3276,0.49485,0.0405,0.46465,0.51335,0.2017,0.28495,0.519,0.2543,0.2267
3296,0.492,0.03975,0.46825,0.51275,0.2099,0.27735,0.5132,0.25215,0.23465
3316,0.49005,0.0374,0.47255,0.51165,0.21015,0.2782,0.5126,0.25555,0.23185
3336,0.48975,0.04065,0.4696,0.5114,0.2106,0.278,0.5109,0.2509,0.2382
3356,0.49485,0.0399,0.46525,0.5204,0.206,0.2736,0.53015,0.2421,0.22775
3376,0.48885,0.0398,0.47135,0.51665,0.2037,0.27965,0.5146,0.2514,0.234
3396,0.4861,0.0391,0.4748,0.5153,0.20655,0.27815,0.5251,0.2436,0.2313
3416,0.50045,0.03615,0.4634,0.51115,0.2138,0.27505,0.51485,0.2551,0.23005
3436,0.50625,0.036,0.45775,0.516,0.214,0.27,0.51735,0.25185,0.2308
3456,0.50085,0.037,0.46215,0.5162,0.2101,0.2737,0.52025,0.24735,0.2324
3476,0.50305,0.0364,0.46055,0.5171,0.2198,0.2631,0.52285,0.24605,0.2311
3496,0.49375,0.03685,0.4694,0.5185,0.2159,0.2656,0.51515,0.24885,0.236
3516,0.5075,0.0372,0.4553,0.5175,0.2163,0.2662,0.5229,0.24605,0.23105
3536,0.50165,0.0361,0.46225,0.51675,0.2162,0.26705,0.52215,0.24675,0.2311
3556,0.50335,0.0375,0.45915,0.51785,0.2163,0.26585,0.52915,0.241,0.22985
3576,0.4959,0.03575,0.46835,0.5261,0.22145,0.25245,0.52365,0.24175,0.2346
3596,0.5016,0.03715,0.46125,0.52395,0.21475,0.2613,0.52985,0.243,0.22715
3616,0.5002,0.03655,0.46325,0.5131,0.21855,0.26835,0.5224,0.24365,0.23395
3636,0.50245,0.03575,0.4618,0.5187,0.2234,0.2579,0.523,0.24635,0.23065
3656,0.4969,0.0383,0.4648,0.52175,0.21945,0.2588,0.52365,0.2408,0.23555
3676,0.50195,0.03685,0.4612,0.52615,0.2176,0.25625,0.53055,0.2401,0.22935
3696,0.5054,0.0361,0.4585,0.52285,0.2223,0.25485,0.52015,0.2472,0.23265
3716,0.50395,0.0356,0.46045,0.52915,0.2214,0.24945,0.5284,0.2432,0.2284
3736,0.50845,0.0363,0.45525,0.52645,0.22345,0.2501,0.5279,0.23865,0.23345
3756,0.5039,0.03755,0.45855,0.5373,0.2185,0.2442,0.52725,0.2383,0.23445
3776,0.5052,0.03555,0.45925,0.5258,0.2241,0.2501,0.5284,0.2395,0.2321
3796,0.50525,0.0379,0.45685,0.5242,0.22585,0.24995,0.52945,0.23775,0.2328
3816,0.5047,0.0388,0.4565,0.5283,0.2205,0.2512,0.52495,0.238,0.23705
3836,0.51445,0.03575,0.4498,0.5303,0.22455,0.24515,0.53155,0.23755,0.2309
3856,0.5055,0.0388,0.4557,0.5373,0.22035,0.24235,0.5354,0.23845,0.22615
3876,0.51135,0.0366,0.45205,0.53115,0.2268,0.24205,0.5319,0.23875,0.22935
3896,0.50425,0.0374,0.45835,0.5349,0.22115,0.24395,0.53185,0.2378,0.23035
3916,0.50875,0.0387,0.45255,0.53035,0.22675,0.2429,0.53375,0.24035,0.2259
3936,0.51275,0.03545,0.4518,0.53215,0.22625,0.2416,0.532,0.23835,0.22965
3956,0.5128,0.03645,0.45075,0.53495,0.22085,0.2442,0.53395,0.23625,0.2298
3976,0.5085,0.0365,0.455,0.5353,0.22795,0.23675,0.5353,0.23225,0.23245
3996,0.5105,0.0372,0.4523,0.53865,0.22645,0.2349,0.53605,0.2345,0.22945
4016,0.5173,0.03685,0.44585,0.52915,0.23255,0.2383,0.5369,0.23585,0.22725
4036,0.5193,0.035,0.4457,0.53915,0.22575,0.2351,0.53805,0.2387,0.22325
4056,0.51585,0.0378,0.44635,0.53395,0.23475,0.2313,0.5388,0.2296,0.2316
4076,0.5118,0.03765,0.45055,0.53585,0.2333,0.23085,0.5347,0.23405,0.23125
4096,0.5145,0.03745,0.44805,0.5393,0.231,0.2297,0.54275,0.2299,0.22735
4116,0.51775,0.0389,0.44335,0.54575,0.2281,0.22615,0.5435,0.2314,0.2251
4136,0.51725,0.0373,0.44545,0.53525,0.2345,0.23025,0.5407,0.22795,0.23135
4156,0.5235,0.03415,0.44235,0.54635,0.22445,0.2292,0.5338,0.23265,0.23355
4176,0.5113,0.03915,0.44955,0.53845,0.2332,0.22835,0.54695,0.22795,0.2251
4196,0.5171,0.0378,0.4451,0.5419,0.22645,0.23165,0.53755,0.2336,0.22885
4216,0.52375,0.036,0.44025,0.5454,0.2318,0.2228,0.546,0.23065,0.22335
4236,0.51875,0.0375,0.44375,0.5459,0.22825,0.22585,0.5487,0.2293,0.222
4256,0.5167,0.0383,0.445,0.54155,0.2337,0.22475,0.54525,0.2266,0.22815
4276,0.52035,0.0348,0.44485,0.54665,0.2304,0.22295,0.5482,0.22435,0.22745
4296,0.5146,0.03835,0.44705,0.54585,0.2357,0.21845,0.541,0.2302,0.2288
4316,0.5228,0.039,0.4382,0.54485,0.22965,0.2255,0.54565,0.2275,0.22685
4336,0.51725,0.0364,0.44635,0.54225,0.2318,0.22595,0.54455,0.229,0.22645
4356,0.52255,0.0375,0.43995,0.5469,0.2298,0.2233,0.54615,0.22875,0.2251
4376,0.5256,0.0339,0.4405,0.54195,0.2375,0.22055,0.5462,0.2297,0.2241
4396,0.52395,0.03535,0.4407,0.5476,0.2368,0.2156,0.5469,0.2261,0.227
4416,0.5191,0.03985,0.44105,0.53965,0.2352,0.22515,0.54845,0.2223,0.22925
4436,0.52345,0.0382,0.43835,0.54785,0.2336,0.21855,0.54705,0.22615,0.2268
4456,0.52875,0.0389,0.43235,0.5509,0.23175,0.21735,0.5438,0.22595,0.23025
4476,0.5259,0.03825,0.43585,0.5469,0.23795,0.21515,0.5496,0.22765,0.22275
4496,0.51975,0.03945,0.4408,0.5474,0.2354,0.2172,0.5499,0.22415,0.22595
4516,0.5315,0.0372,0.4313,0.55025,0.23535,0.2144,0.55265,0.22325,0.2241
4536,0.52555,0.0391,0.43535,0.54615,0.2372,0.21665,0.5524,0.22415,0.22345
4556,0.52305,0.0365,0.44045,0.5514,0.2333,0.2153,0.54795,0.22865,0.2234
4576,0.5245,0.0399,0.4356,0.55575,0.23555,0.2087,0.55425,0.2215,0.22425
4596,0.527,0.0379,0.4351,0.5512,0.23705,0.21175,0.5514,0.22425,0.22435
4616,0.5294,0.0369,0.4337,0.55255,0.24095,0.2065,0.5542,0.2264,0.2194
4636,0.5291,0.0372,0.4337,0.55465,0.23805,0.2073,0.5457,0.2259,0.2284
4656,0.5244,0.0366,0.439,0.55905,0.2332,0.20775,0.5588,0.2145,0.2267
4676,0.529,0.0375,0.4335,0.55215,0.23525,0.2126,0.5533,0.2202,0.2265
4696,0.52745,0.0358,0.43675,0.555,0.23765,0.20735,0.5522,0.2204,0.2274
4716,0.53825,0.0375,0.42425,0.5597,0.2299,0.2104,0.5616,0.21435,0.22405
4736,0.53345,0.03905,0.4275,0.5634,0.2314,0.2052,0.5484,0.22225,0.22935
4756,0.53525,0.0379,0.42685,0.5631,0.23715,0.19975,0.5554,0.22135,0.22325
4776,0.53295,0.03915,0.4279,0.5616,0.2317,0.2067,0.55545,0.216,0.22855
4796,0.53845,0.03835,0.4232,0.55715,0.2397,0.20315,0.5571,0.2192,0.2237
4816,0.53605,0.0376,0.42635,0.561,0.238,0.201,0.55755,0.2166,0.22585
4836,0.5364,0.0385,0.4251,0.56125,0.24045,0.1983,0.5532,0.21775,0.22905
4856,0.5384,0.03735,0.42425,0.56205,0.2352,0.20275,0.55505,0.21885,0.2261
4876,0.5371,0.03845,0.42445,0.55995,0.24055,0.1995,0.56095,0.21725,0.2218
4896,0.53605,0.0364,0.42755,0.5617,0.2367,0.2016,0.56415,0.21245,0.2234
4916,0.54165,0.0379,0.42045,0.56185,0.2406,0.19755,0.5592,0.2186,0.2222
